year,boys,girls,total
1629,5218,4683,9901
1630,4858,4457,9315
1631,4422,4102,8524
1632,4994,4590,9584
1633,5158,4839,9997
1634,5035,4820,9855
1635,5106,4928,10034
1636,4917,4605,9522
1637,4703,4457,9160
1638,5359,4952,10311
1639,5366,4784,10150
1640,5518,5332,10850
1641,5470,5200,10670
1642,5460,4910,10370
1643,4793,4617,9410
1644,4107,3997,8104
1645,4047,3919,7966
1646,3768,3395,7163
1647,3796,3536,7332
1648,3363,3181,6544
1649,3079,2746,5825
1650,2890,2722,5612
1651,3231,2840,6071
1652,3220,2908,6128
1653,3196,2959,6155
1654,3441,3179,6620
1655,3655,3349,7004
1656,3668,3382,7050
1657,3396,3289,6685
1658,3157,3013,6170
1659,3209,2781,5990
1660,3724,3247,6971
1661,4748,4107,8855
1662,5216,4803,10019
1663,5411,4881,10292
1664,6041,5681,11722
1665,5114,4858,9972
1666,4678,4319,8997
1667,5616,5322,10938
1668,6073,5560,11633
1669,6506,5829,12335
1670,6278,5719,11997
1671,6449,6061,12510
1672,6443,6120,12563
1673,6073,5822,11895
1674,6113,5738,11851
1675,6058,5717,11775
1676,6552,5847,12399
1677,6423,6203,12626
1678,6568,6033,12601
1679,6247,6041,12288
1680,6548,6299,12847
1681,6822,6533,13355
1682,6909,6744,13653
1683,7577,7158,14735
1684,7575,7127,14702
1685,7484,7246,14730
1686,7575,7119,14694
1687,7737,7214,14951
1688,7487,7101,14588
1689,7604,7167,14771
1690,7909,7302,15211
1691,7662,7392,15054
1692,7602,7316,14918
1693,7676,7483,15159
1694,6985,6647,13632
1695,7263,6713,13976
1696,7632,7229,14861
1697,8062,7767,15829
1698,8426,7626,16052
1699,7911,7452,15363
1700,7578,7061,14639
1701,8102,7514,15616
1702,8031,7656,15687
1703,7765,7683,15448
1704,6113,5738,11851
1705,8366,7779,16145
1706,7952,7417,15369
1707,8379,7687,16066
1708,8239,7623,15862
1709,7840,7380,15220
1710,7640,7288,14928
