application_type,homeownership,interest_rate,loan_amount
individual,MORTGAGE,14.07,28000
individual,RENT,12.61,5000
individual,RENT,17.09,2000
individual,RENT,6.72,21600
joint,RENT,14.07,23000
individual,OWN,6.72,5000
joint,MORTGAGE,13.59,24000
individual,MORTGAGE,11.99,20000
individual,MORTGAGE,13.59,20000
individual,RENT,6.71,6400
individual,MORTGAGE,15.04,25000
individual,MORTGAGE,9.92,40000
individual,MORTGAGE,13.59,16000
individual,MORTGAGE,9.43,17000
individual,MORTGAGE,19.03,3000
individual,MORTGAGE,19.03,20000
individual,MORTGAGE,19.03,12000
individual,RENT,28.72,30000
individual,MORTGAGE,26.77,5000
individual,MORTGAGE,15.05,20000
individual,MORTGAGE,6.08,7000
joint,MORTGAGE,11.98,10000
individual,MORTGAGE,13.59,21050
individual,MORTGAGE,6.71,3500
individual,RENT,7.96,8000
individual,MORTGAGE,12.61,18000
individual,RENT,11.98,10000
individual,RENT,7.34,3200
individual,RENT,5.32,10000
individual,MORTGAGE,6.07,6000
individual,MORTGAGE,12.62,12000
individual,MORTGAGE,9.44,40000
joint,MORTGAGE,19.03,19000
individual,MORTGAGE,20.39,28000
individual,MORTGAGE,9.93,15000
individual,OWN,6.08,2400
individual,RENT,21.45,10000
joint,MORTGAGE,15.04,24000
individual,RENT,10.42,9500
individual,RENT,12.61,30000
joint,MORTGAGE,18.06,10000
individual,RENT,11.99,15000
individual,RENT,15.05,35000
individual,RENT,15.05,10000
individual,MORTGAGE,12.62,40000
individual,OWN,6.72,15000
individual,MORTGAGE,6.71,20000
individual,RENT,15.05,4500
individual,RENT,9.93,16000
individual,MORTGAGE,10.42,10000
individual,MORTGAGE,22.91,20000
individual,RENT,30.79,20600
individual,RENT,15.05,35000
joint,MORTGAGE,6.07,10000
individual,MORTGAGE,6.07,12000
joint,OWN,17.47,1925
individual,MORTGAGE,7.34,15000
individual,MORTGAGE,13.59,20000
individual,MORTGAGE,6.72,6000
individual,RENT,5.31,10000
individual,MORTGAGE,9.93,25000
individual,OWN,9.92,10000
individual,RENT,9.93,6000
individual,MORTGAGE,14.07,20000
individual,MORTGAGE,7.97,15000
individual,MORTGAGE,5.31,20000
individual,MORTGAGE,9.93,10500
individual,MORTGAGE,14.08,11400
individual,MORTGAGE,12.61,5500
individual,RENT,12.62,5000
individual,OWN,17.47,9600
individual,RENT,12.62,15000
individual,RENT,6.71,10000
individual,RENT,19.42,10450
individual,MORTGAGE,12.62,7200
joint,MORTGAGE,14.08,35000
individual,RENT,10.91,4200
individual,RENT,17.47,2400
individual,MORTGAGE,18.06,12800
joint,MORTGAGE,16.02,8000
individual,MORTGAGE,19.03,30000
individual,MORTGAGE,12.62,7000
individual,MORTGAGE,6.07,25000
individual,MORTGAGE,9.43,40000
individual,MORTGAGE,10.42,24000
individual,OWN,7.96,5000
individual,MORTGAGE,13.59,40000
individual,MORTGAGE,15.04,15000
individual,OWN,12.61,5000
individual,RENT,7.96,7000
individual,RENT,13.58,17450
individual,MORTGAGE,16.01,30000
individual,OWN,22.91,15000
individual,RENT,7.97,20000
individual,RENT,18.06,15000
