movie,length_hrs,length_min,release_date,opening_weekend_us,gross_us,gross_world
Iron Man,2.0,6.0,5/2/2008,98618668.0,319034126.0,585796247.0
The Incredible Hulk,1.0,52.0,6/12/2008,55414050.0,134806913.0,264770996.0
Iron Man 2,2.0,4.0,5/7/2010,128122480.0,312433331.0,623933331.0
Thor,1.0,55.0,5/6/2011,65723338.0,181030624.0,449326618.0
Captain America: The First Avenger,2.0,4.0,7/22/2011,65058524.0,176654505.0,370569774.0
Marvel's The Avengers,2.0,23.0,5/4/2012,207438708.0,623357910.0,1518815515.0
Iron Man 3,2.0,10.0,5/3/2013,174144585.0,409013994.0,1214811252.0
Thor: The Dark World,1.0,52.0,11/8/2013,85737841.0,206362140.0,644783140.0
Captain America: The Winder Soldier,2.0,16.0,4/4/2014,95023721.0,259766572.0,714421503.0
Guardians of the Galaxy,2.0,1.0,8/1/2014,94320883.0,333718600.0,773341024.0
Avengers: Age of Ultron,2.0,21.0,5/1/2015,191271109.0,459005868.0,1402809540.0
Ant-Man,1.0,57.0,7/17/2015,57225526.0,180202163.0,519311965.0
Captain America: Civil War,2.0,27.0,5/6/2016,179139142.0,408084349.0,1153561649.0
Doctor Strange,1.0,55.0,11/4/2016,85058311.0,232641920.0,677796076.0
Guardians of the Galaxy Vol. 2,2.0,16.0,5/5/2017,146510104.0,389813101.0,863756051.0
Spiderman: Homecoming,2.0,13.0,7/7/2017,117027503.0,334201140.0,880166924.0
Thor: Ragnarok,2.0,10.0,11/3/2017,122744989.0,315058289.0,853983829.0
Black Panther,2.0,14.0,2/16/2018,202003951.0,700426566.0,1347598739.0
Avengers: Infinity War,2.0,29.0,4/27/2018,257698183.0,678815482.0,2048359754.0
Ant-Man and the Wasp,1.0,58.0,7/6/2018,75812208.0,216648740.0,622674139.0
Captain Marvel,2.0,3.0,3/8/2019,153433423.0,426829839.0,1128437854.0
Avengers: Endgame,3.0,1.0,4/26/2019,357115007.0,858373000.0,2797800564.0
Spiderman: Far from Home,2.0,9.0,7/2/2019,92579212.0,390532085.0,1131927996.0
