State,Graduates,Poverty
California,81.1,12.8
Rhode Island,81.0,10.3
Bang 01,91.1,8.2
Bang 02,83.1,11.2
Bang 03,89.1,9.8
Bang 04,86.9,11.1
Bang 05,87.4,8.5
Bang 06,86.0,9.4
Bang 07,89.6,8.5
Bang 08,80.4,18.9
Bang 09,81.5,10.7
Bang 10,83.4,15.4
Bang 11,90.5,11.1
Bang 12,80.9,17.3
Bang 13,83.3,12.6
Bang 14,86.1,7.6
Bang 15,82.3,15.3
Bang 16,87.2,12.8
Bang 17,88.2,9.0
Bang 18,88.7,9.4
Bang 19,82.5,15.4
Bang 20,87.6,8.4
Bang 21,77.8,15.4
Bang 22,83.2,10.7
Bang 23,83.1,11.1
Bang 24,88.0,7.8
Bang 25,82.9,15.0
Bang 26,86.6,11.4
Bang 27,90.3,9.3
Bang 28,83.9,17.0
Bang 29,88.3,7.8
Bang 30,88.9,11.1
Bang 31,90.5,7.7
Bang 32,85.0,12.9
Bang 33,91.7,10.3
Bang 34,84.9,12.9
Bang 35,78.5,15.3
Bang 36,86.6,6.0
Bang 37,92.0,8.3
Bang 38,89.0,11.3
Bang 39,86.3,12.0
Bang 40,91.1,7.8
Bang 41,83.0,13.6
Bang 42,83.8,13.5
Bang 43,91.1,8.2
Bang 44,90.0,9.6
Bang 45,82.7,16.6
Bang 46,88.1,11.2
Bang 47,83.9,13.7
Bang 48,92.2,5.5
Bang 49,85.0,12.0
