license_issue_date,animal_name,species
2018-11-16,Wall-E,Dog
2018-11-11,Andre,Dog
2018-11-21,Mac,Dog
2018-11-23,Melb,Cat
2018-12-30,Gingersnap,Cat
2018-12-16,Cody,Dog
2017-10-04,Millie,Dog
2018-08-09,Sebastian,Cat
2018-08-20,Madeline,Cat
2018-12-08,Cleo,Cat
2018-12-23,Sabre,Dog
2018-12-07,Thomas,Dog
2018-10-20,Glitch,Cat
2018-11-07,Lulu,Dog
2018-11-24,Candy,Cat
2018-12-15,Milo,Dog
2018-12-07,Cinnamon,Cat
2018-11-27,Anubis,Dog
2018-10-31,Sydney2,Cat
2018-10-25,Skylar,Dog
2018-10-23,Cleo,Dog
2018-11-07,Petey,Dog
2018-12-24,Kaia,Dog
2018-10-23,Calvin,Cat
2018-12-27,Maya,Dog
2018-11-15,Mochi,Cat
2018-11-27,dmh,Cat
2018-12-20,Justin,Cat
2018-11-18,Shirley,Dog
2018-10-18,Diesel,Dog
2018-12-21,Dash,Cat
2018-11-30,Jacob,Dog
2018-12-10,Buster,Cat
2018-11-06,Linkin,Dog
2018-10-21,Monk,Cat
2018-12-02,Gracie,Dog
2018-10-29,Mari,Cat
2018-11-19,Peko,Cat
2018-11-07,Sajah,Cat
2018-11-08,Chobo,Dog
2018-11-12,Nami,Cat
2018-12-10,John,Cat
2016-12-14,Lola,Dog
2018-12-11,Macy,Dog
2018-11-01,Billy,Dog
2018-11-23,Harley Davidson,Cat
2018-11-09,Morris,Dog
2018-11-03,Channing,Dog
2018-12-29,Duke,Dog
2018-11-08,Daisy Mae,Dog
2018-11-06,Millie,Dog
2018-10-19,Harper,Dog
2018-12-16,Plucky,Dog
2018-11-14,Big Boy,Cat
2018-12-26,Ulu,Dog
2018-12-11,Angel,Dog
2018-12-11,Fenway,Dog
2018-12-07,ALASTOR,Cat
2018-12-05,Zoe,Dog
2018-10-24,Trooper,Dog
2018-12-15,Thom,Dog
2018-12-20,Tikka,Dog
2018-11-30,Kidalee Divey,Dog
2018-10-24,Hermes,Dog
2018-08-02,Dodger,Cat
2018-12-21,Jean Paul,Dog
2018-11-06,Oliver,Dog
2018-12-05,Patsy,Dog
2018-12-26,Ruby,Dog
2018-12-16,Ella,Dog
2018-11-06,Duffy,Cat
2018-11-24,,Cat
2018-10-28,Roxy,Dog
2018-12-27,Rocket,Dog
2018-12-11,Milli,Dog
2018-11-06,Gabby,Dog
2018-12-01,Barry,Cat
2018-10-27,Willow,Dog
2018-11-01,Georgie,Dog
2018-12-19,Louisa,Cat
2018-12-18,Hoover,Dog
2018-12-20,Ro Ro,Dog
2018-11-06,Lolly,Cat
2018-10-29,Lexi Aine,Dog
2018-11-28,Eve,Dog
2018-12-02,Koko,Cat
2018-11-30,Izzy,Dog
2018-12-11,Mushu,Dog
2018-12-08,Porter,Dog
2018-11-20,Sue,Dog
