restaurant,price,food,decor,service,geo
Daniella Ristorante,43.0,22.0,18.0,20.0,west
Tello's Ristorante,32.0,20.0,19.0,19.0,west
Biricchino,34.0,21.0,13.0,18.0,west
Bottino,41.0,20.0,20.0,17.0,west
Da Umberto,54.0,24.0,19.0,21.0,west
Le Madri,52.0,22.0,22.0,21.0,west
Le Zie,34.0,22.0,16.0,21.0,west
Pasticcio,34.0,20.0,18.0,21.0,east
Belluno,39.0,22.0,19.0,22.0,east
Cinque Terre,44.0,21.0,17.0,19.0,east
Fino,45.0,19.0,17.0,20.0,east
Marchi's,47.0,21.0,19.0,21.0,east
Nicola Paone,52.0,21.0,19.0,20.0,east
Notaro,35.0,19.0,17.0,19.0,east
Rossini's,47.0,20.0,18.0,21.0,east
Trattoria Alba,37.0,21.0,19.0,21.0,east
Villa Berulia,45.0,22.0,18.0,23.0,east
Il Postino,57.0,24.0,21.0,22.0,east
Luna Blu,38.0,19.0,17.0,18.0,east
San Giusto,51.0,22.0,20.0,22.0,east
Grifone,54.0,23.0,20.0,23.0,east
Nanni's,51.0,23.0,17.0,21.0,east
Osteria Laguna,38.0,20.0,18.0,18.0,east
Bellini,49.0,22.0,21.0,21.0,east
Cellini,45.0,22.0,20.0,22.0,east
Anche Vivolo,37.0,19.0,17.0,19.0,east
Bruno Ristorante,50.0,22.0,19.0,22.0,east
Chianti,43.0,20.0,16.0,18.0,east
Da Antonio Ristorante,49.0,22.0,19.0,20.0,east
Harry Cipriani,65.0,21.0,20.0,20.0,east
La Gioconda,34.0,20.0,16.0,18.0,east
Bice,51.0,21.0,20.0,18.0,east
Coco Pazzo Café,49.0,20.0,19.0,19.0,east
DeGrezia,51.0,23.0,22.0,23.0,east
FELIDIA,62.0,25.0,22.0,23.0,east
Fresco by Scotto,50.0,23.0,21.0,21.0,east
Giambelli,51.0,21.0,18.0,20.0,east
Il Menestrello,52.0,22.0,19.0,22.0,east
Il Nido,57.0,24.0,20.0,23.0,east
Il Valentino,49.0,21.0,20.0,21.0,east
Luna Piena,33.0,19.0,17.0,18.0,east
Paper Moon Milano,43.0,19.0,17.0,17.0,east
Teodora,41.0,21.0,17.0,18.0,east
San Pietro,58.0,24.0,21.0,23.0,east
Bravo Gianni,56.0,22.0,17.0,21.0,east
Canaletto,44.0,22.0,17.0,21.0,east
Il Gatto & La Volpe,37.0,20.0,15.0,20.0,east
Il Valletto Due Mila,56.0,21.0,17.0,20.0,east
Scalinatella,58.0,24.0,18.0,21.0,east
Barbaresco,44.0,16.0,16.0,16.0,east
Da Filippo,46.0,20.0,18.0,20.0,east
East River Cafe,40.0,20.0,20.0,20.0,east
Fred's at Barneys NY,39.0,19.0,18.0,17.0,east
Il Vagabondo,36.0,17.0,14.0,17.0,east
Mediterraneo,34.0,18.0,15.0,16.0,east
Nello,54.0,18.0,16.0,15.0,east
Primola,51.0,23.0,17.0,20.0,east
Gino,41.0,20.0,14.0,19.0,east
Via Oreto,40.0,22.0,17.0,20.0,east
Bardolino,24.0,18.0,13.0,18.0,east
Campagnola,53.0,24.0,20.0,21.0,east
Cucina Vivolo,31.0,19.0,16.0,17.0,east
Grace's Trattoria,35.0,18.0,16.0,17.0,east
Lumi,49.0,20.0,19.0,19.0,east
Mezzaluna,38.0,19.0,15.0,17.0,east
Sette Mezzo,48.0,21.0,16.0,18.0,east
Vivolo,43.0,20.0,19.0,20.0,east
Zucchero e Pomodori,29.0,17.0,14.0,15.0,east
